Zaman damgası,Hangi üniversitede okuyorsun?,Hangi bölümde okuyorsun?,Derslerinin işlenme yöntemi aşağıdakilerden hangisi?,Derslerinin işleyişi aşağıdakilerden hangisi ile yapılıyor?,Derslerinin not değerlendirilmesinde vize ve final sınavlarına ek olarak farklı metotlar uygulanıyor mu?,Derslerin öğrenci etkileşimli mi işleniyor?,Bir sorun ile karşılaştığında öğretim üyeleri veya gerekli birimlere ulaşmak pandemi öncesine göre nasıl bir hal aldı?,Yukarıda vermiş olduğun cevaplara göre uzaktan eğitim sürecinin verimlilik puanı senin için kaç olurdu?
17.10.2020 20:17:40,Düzce Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:17:43,İzmir Yüksek Teknoloji Enstitüsü,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
17.10.2020 20:17:52,Aydın Adnan Menderes ,Yönetim bilişim ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:18:01,Suleyman Demirel Universitesi,Hemşirelik ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 20:18:12,Sakarya üniversitesi,Bilgisayar mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:18:35,Süleyman Demirel üniversitesi,Çeko,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
17.10.2020 20:18:44,Necmettin erbakan ,İngilizce öğretmenliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
17.10.2020 20:19:14,Tekirdağ Namık Kemal Üniversitesi,Hazırlık,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:19:21,Düzce Üniversitesi,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:20:46,Erciyes üniversitesi,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:21:28,Ankara üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:21:46,Süleyman Demirel Üniversitesi ,Çalışma Ekonomisi ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
17.10.2020 20:24:04,Kocaeli Üniversitesi ,Elektronik ve haberleşme mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:25:06,Düzce Üniversitesi ,Endüstri Mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:25:44,Kocaeli Üniversitesi ,Bilgisayar Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:26:54,Konya Teknik Üniversitesi,Harita Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:33:48,Sakarya üniversitesi,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:35:45,Cumhuriyet Üniversitesi,Halkla İlişkiler,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:37:57,İstanbul Ticaret Üniversitesi,Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:38:04,Sakarya Uygulamalı Bilimler Üniversitesi,Elektrik Elektronik Müh.,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:38:18,Sakarya Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
17.10.2020 20:39:19,Sakarya Üniversitesi ,Bilgisayar Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:40:44,Yeditepe Universitesi,Psikoloji,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:40:57,İstanbul Ticaret Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:42:32,İstanbul Üniversitesi,İşletme (ingilizce),Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:44:06,İstanbul Ticaret Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:44:45,Düzce Üniversitesi ,Sınıf Öğretmenliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,2
17.10.2020 20:44:48,Marmara ,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:45:56,Istanbul Ticaret Üniversitesi,Bilgisayar Mühendisligi,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:47:08,Adana Alparslan Türkeş Bilim Ve Teknoloji Üniversitesi ,Makine Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:47:12,İstanbul Ticaret Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:47:24,Istanbul Ticaret Universitesi,Bilgisayar Muhendisligi,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:49:41,Ankara Üni,Bilgisayar Müh,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
17.10.2020 20:51:03,Bilecik Şeyh Edebali Üniversitesi,Makine Mühendisliği ,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 20:51:20,Düzce üniversitesi,Makine mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
17.10.2020 20:51:22,İstanbul Ticaret,Endüstri & Bilgisayar Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 20:51:43,İstanbul Ticaret Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:51:50,Istanbul ticaret universitesi,Bilgisayar Muhendisligi,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,2
17.10.2020 20:52:38,İstanbul Ticaret Üniversitesi ,Bilgisayar mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 20:52:52,Atatürk üni.,Gazetecilil,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,1
17.10.2020 20:54:40,İnönü Üniversitesi ,Moleküler biyoloji ve genetik ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 20:56:40,Düzce üniversitesi,Bilgisayar mühendisliği,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:57:31,İstanbul ticaret üniversitesi,Bilgisayar mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 20:58:49,Gebze Teknik Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 21:04:14,AÖF ,İşletme ,Tüm derslerim asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,5
17.10.2020 21:09:07,Yeditepe Üniversitesi,Elektrik ve Elektronik Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:09:27,İstanbul ticaret üniversitesi ,Bilgisayar Mühendisliği ,Tüm derslerim asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 21:11:49,Sakarya Üniversitesi,Sosyoloji,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 21:13:47,Yıldız Teknik Üniversitesi ,Matematik Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,4
17.10.2020 21:13:48,Sakarya ünivertesi ,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:13:55,İstanbul ticaret üniversitesi ,Endüstri mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:14:08,Düzce Üniversitesi ,Yönetim Bilişim Sistemleri,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:16:05,Kocaeli Üniversitesi ,Bilgisayar Mühendisliği ,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 21:16:21,Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:17:55,Yıldız Teknik Üniversitesi,Endüstri Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 21:18:49,Bahçeşehir üniversitesi ,Mimarlık,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
17.10.2020 21:21:42,Bahçeşehir Üniversitesi,Tıbbi dokümantasyon ve sekreterlik,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:25:28,Beykent Üniversitesi,Makine Mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 21:27:39,Düzce üniversitesi ,Endüstri mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,2
17.10.2020 21:28:27,İstanbul ticaret üniversitesi,Bilgisayar mühendisliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 21:31:43,Biruni üniversitesi ,Diyaliz ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Hayır, öğrenci etkileşimli değil",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,1
17.10.2020 21:32:31,İstanbul Ticaret Üniversitesi ,Bilgisayar Mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:33:21,Marmara Üniversitesi ,İşletme Enfortmatiği ,Tüm derslerim senkron modeli ile işleniyor,Teorik,"Hayır, vize ve final sınavlarından ayrı ek bir metot uygulanmıyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 21:36:58,Marmara,Turist Rehberliği,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,3
17.10.2020 21:37:48,Erzurum Atatürk üniversitesi ,Endüstri mühendisliği ,Bazı derslerim senkron bazı derslerim de asenkron modeli ile işleniyor,Teorik,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,2
17.10.2020 21:42:48,Marmara,Bilgisayar mühendisliği,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak için daha çok uğraşıyorum,3
17.10.2020 21:43:35,İzmir Kavram Meslek Yüksekokulu ,Bilgisayar Programcılığı,Tüm derslerim senkron modeli ile işleniyor,Teorik + Uygulama,"Evet, sınavlara ek olarak ödev/proje gibi  veriliyor","Evet, öğrenci etkileşimli",Sorunlarımı çözüme kavuşturmak çok daha kısa sürüyor,4
